timestamp,WS10m_ERA5_ms,WS50m_ERA5_ms,WS50m_MERRA2_ms,cf_wind_MERRA2
2020-01-13 06:00:00,4.21,5.106913434636774,4.656,0.077
2020-01-13 07:00:00,4.62,5.604261298817552,4.555,0.071
2020-01-13 08:00:00,5.17,6.271435262962499,4.713,0.08
2020-01-13 09:00:00,5.59,6.7809135628550035,4.537,0.071
2020-01-13 10:00:00,6.48,7.860522341198646,4.242,0.056
2020-01-13 11:00:00,5.93,7.193348377053698,4.057,0.047
2020-01-13 12:00:00,5.17,6.271435262962499,3.814,0.037
2020-01-13 13:00:00,4.62,5.604261298817552,3.645,0.031
2020-01-13 14:00:00,4.97,6.028826548727973,3.65,0.031
2020-01-13 15:00:00,5.59,6.7809135628550035,3.856,0.039
2020-01-13 16:00:00,6.0,7.278261427035782,4.546,0.071
2020-01-13 17:00:00,6.21,7.533000576982035,5.58,0.139
2020-01-13 18:00:00,6.14,7.4480875269999505,6.45,0.214
2020-01-13 19:00:00,5.86,7.108435327071614,6.81,0.251
2020-01-13 20:00:00,5.45,6.611087462890836,6.918,0.263
2020-01-13 21:00:00,5.17,6.271435262962499,6.65,0.234
2020-01-13 22:00:00,4.21,5.106913434636774,6.381,0.207
2020-01-13 23:00:00,3.66,4.439739470491827,6.167,0.188
2020-01-14 00:00:00,3.1,3.7604350706351544,5.925,0.166
2020-01-14 01:00:00,2.34,2.838521956543955,5.777,0.154
2020-01-14 02:00:00,1.52,1.8438262281823983,5.645,0.143
2020-01-14 03:00:00,1.03,1.2494348783078093,5.564,0.137
2020-01-14 04:00:00,1.03,1.2494348783078093,5.505,0.132
2020-01-14 05:00:00,1.17,1.4192609782719774,5.399,0.124
2020-01-14 06:00:00,1.31,1.589087078236146,5.129,0.106
2020-01-14 07:00:00,1.31,1.589087078236146,5.125,0.105
2020-01-14 08:00:00,2.21,2.680826292291513,4.958,0.095
2020-01-14 09:00:00,2.76,3.3480002564364595,4.531,0.071
2020-01-14 10:00:00,2.62,3.178174156472292,4.206,0.054
2020-01-14 11:00:00,2.14,2.5959132423094293,3.942,0.043
2020-01-14 12:00:00,2.21,2.680826292291513,3.943,0.043
2020-01-14 13:00:00,2.83,3.432913306418544,4.201,0.054
2020-01-14 14:00:00,3.38,4.100087270563491,4.652,0.077
2020-01-14 15:00:00,3.79,4.597435134744269,5.024,0.099
2020-01-14 16:00:00,3.86,4.6823481847263535,5.323,0.119
2020-01-14 17:00:00,3.86,4.6823481847263535,5.79,0.155
2020-01-14 18:00:00,3.59,4.354826420509743,6.213,0.192
2020-01-14 19:00:00,3.38,4.100087270563491,6.343,0.204
2020-01-14 20:00:00,3.38,4.100087270563491,6.21,0.192
2020-01-14 21:00:00,3.31,4.0151742205814065,5.95,0.169
2020-01-14 22:00:00,2.97,3.6027394063827125,5.728,0.15
2020-01-14 23:00:00,2.69,3.263087206454376,5.426,0.126
2020-01-15 00:00:00,2.14,2.5959132423094293,5.242,0.113
2020-01-15 01:00:00,1.66,2.0136523281465664,5.084,0.103
2020-01-15 02:00:00,1.59,1.9287392781644823,4.959,0.095
2020-01-15 03:00:00,2.0,2.426087142345261,4.936,0.093
